2026-06-18 16:00:29 [INFO] [API] SUCCESS | userId=anonymous | method=POST | uri=/user/auth/login | elapsed=163ms
2026-06-18 16:08:20 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=93ms
2026-06-18 16:08:20 [ERROR] [API] FAIL | userId=106 | method=GET | uri=/api/v1/user/visual/survey/weighted-score | elapsed=90ms | error=SurveyException | message=해당 userYearRound가 없습니다.
2026-06-18 16:08:20 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=118ms
2026-06-18 16:08:21 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/weighted-score | elapsed=58ms
2026-06-18 16:08:23 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=278ms
2026-06-18 16:08:23 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=301ms
2026-06-18 16:08:25 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=80ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=POST | uri=/user/auth/login | elapsed=49ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=114ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=96ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=97ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/weighted-score | elapsed=127ms
2026-06-18 16:08:31 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=145ms
2026-06-18 16:08:34 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/auth/me | elapsed=86ms
2026-06-18 16:08:34 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=86ms
2026-06-18 16:08:37 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/1650 | elapsed=126ms
2026-06-18 16:08:53 [INFO] [API] SUCCESS | userId=106 | method=POST | uri=/api/v1/user/industry/survey/1650/submit-all | elapsed=4495ms
2026-06-18 16:08:53 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=230ms
2026-06-18 16:08:53 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/1650 | elapsed=237ms
2026-06-18 16:08:55 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/1651 | elapsed=301ms
2026-06-18 16:09:15 [INFO] [API] SUCCESS | userId=106 | method=POST | uri=/api/v1/user/industry/survey/1651/save-all | elapsed=4473ms
2026-06-18 16:09:15 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey | elapsed=105ms
2026-06-18 16:09:15 [INFO] [API] SUCCESS | userId=106 | method=GET | uri=/api/v1/user/industry/survey/1651 | elapsed=120ms
